from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone,bid_price,ask_price
BTC,Bitcoin,USD,United States Dollar,93423.99000000,2025-12-09 16:16:39,UTC,93422.96700000,93428.25000000
BTC,Bitcoin,USD,United States Dollar,93423.99000000,2025-12-09 16:17:39,UTC,93423.77500000,93426.97900000
BTC,Bitcoin,USD,United States Dollar,93423.99000000,2025-12-09 16:18:41,UTC,93420.77100000,93428.59500000
BTC,Bitcoin,USD,United States Dollar,93423.99000000,2025-12-09 16:19:41,UTC,93422.88200000,93427.40900000
BTC,Bitcoin,USD,United States Dollar,93373.88000000,2025-12-09 16:20:41,UTC,93371.49800000,93373.95000000
BTC,Bitcoin,USD,United States Dollar,93373.88000000,2025-12-09 16:21:42,UTC,93369.48200000,93375.04200000
BTC,Bitcoin,USD,United States Dollar,93373.88000000,2025-12-09 16:22:42,UTC,93372.51600000,93375.24300000
BTC,Bitcoin,USD,United States Dollar,93373.88000000,2025-12-09 16:23:43,UTC,93369.53800000,93374.06200000
BTC,Bitcoin,USD,United States Dollar,93373.88000000,2025-12-09 16:24:44,UTC,93372.01200000,93373.89800000
BTC,Bitcoin,USD,United States Dollar,93496.13000000,2025-12-09 16:25:44,UTC,93495.70900000,93496.55000000
BTC,Bitcoin,USD,United States Dollar,93496.13000000,2025-12-09 16:26:45,UTC,93494.63400000,93496.23700000
BTC,Bitcoin,USD,United States Dollar,93496.13000000,2025-12-09 16:27:47,UTC,93495.74100000,93497.90600000
BTC,Bitcoin,USD,United States Dollar,93496.13000000,2025-12-09 16:28:48,UTC,93493.60500000,93496.34000000
BTC,Bitcoin,USD,United States Dollar,93496.13000000,2025-12-09 16:29:49,UTC,93493.14200000,93500.50500000
BTC,Bitcoin,USD,United States Dollar,93382.00000000,2025-12-09 16:30:51,UTC,93379.70000000,93383.20000000
BTC,Bitcoin,USD,United States Dollar,93382.00000000,2025-12-09 16:31:51,UTC,93381.60000000,93382.30000000
BTC,Bitcoin,USD,United States Dollar,93382.00000000,2025-12-09 16:32:52,UTC,93379.10000000,93384.40000000
BTC,Bitcoin,USD,United States Dollar,93382.00000000,2025-12-09 16:33:54,UTC,93377.60000000,93382.10000000
BTC,Bitcoin,USD,United States Dollar,93815.78000000,2025-12-09 16:34:56,UTC,93811.94700000,93819.14700000
BTC,Bitcoin,USD,United States Dollar,93815.78000000,2025-12-09 16:38:01,UTC,93813.78600000,93818.23700000
